,Adiac,ArrowHead,BeetleFly,BirdChicken,Colposcopy,Crop,DiatomSizeReduction,DistalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,DistalPhalanxTW,FaceAll,FaceFour,FacesUCR,FiftyWords,Fish,HandOutlines,Herring,MedicalImages,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,MiddlePhalanxTW,MixedShapesRegularTrain,MixedShapesSmallTrain,OSULeaf,PhalangesOutlinesCorrect,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,ProximalPhalanxTW,ShapesAll,SwedishLeaf,Symbols,WordSynonyms,Yoga
MiddlePhalanxOutlineAgeGroup,7.005499955237493,4.7721779164005325,8.971670104543545,11.683753735032695,77.31020175096442,7.595371610496605,11.159901560310356,0.6091138171201655,0.6699712641872825,0.39801591517444224,5.708582343676403,11.407765489458065,5.788208324501551,2.5115811296961237,13.734237724546794,19.003118317896316,15.001387382894094,3.0124366000172684,inf,0.5078073836095024,0.23851307677339253,11.189360386630241,9.784293373736833,6.647518333738087,0.4839081939816619,0.6851685440657037,0.6019535452347156,0.6397818112740404,5.141590487201379,6.562232171868517,9.132394442756725,2.963219803395619,7.354292530306221
MiddlePhalanxOutlineCorrect,7.367331081395317,4.847441015571972,9.112865912481636,11.562570454214823,77.5553989000654,7.500856830009607,11.874913600556265,0.6652721832504568,0.5447253216992958,0.7758386548393871,5.672408771194512,11.38682619288502,5.762456516381389,2.2624932366888,14.592983983113132,20.07479251680515,15.859527920806459,2.9129991208737374,0.5078073836095024,inf,0.5063839569471708,11.384345264384674,9.919472104868035,7.016199852215619,0.44715115599533334,0.7560195800832862,0.5457883179000371,0.6173389667607482,5.406189297471389,6.921486531751797,9.383221218111668,2.94662932285251,7.873890108835066
MiddlePhalanxTW,6.694638453486991,4.543215864075189,8.827142271343094,11.322491391072175,76.92560950476364,7.564991865990752,10.637969797136646,0.5611845327027531,0.6451148751913749,0.37892031972307605,5.596917940725325,11.374147972627135,5.760769150737432,2.356310261696469,13.054843152650257,17.86659923299284,14.352235514061059,2.8876701960568436,0.23851307677339253,0.5063839569471708,inf,10.681751316390077,9.696602310653288,6.25266565257222,0.49661290683502285,0.6734333173366941,0.6199397811278377,0.5864485353003269,4.538545464584773,6.237416026172294,8.908540119345812,2.798034870269663,6.9549795519223805
MixedShapesRegularTrain,2.37212912185341,12.525617080353886,4.742255385315322,2.7646013811662136,64.88481301720903,17.766868342617084,2.3732845390781403,8.66136775813652,10.81498237817638,8.228489152103815,6.207908438112427,6.724599269391315,7.039070452982928,7.510723158452102,2.4057232511725566,24.940630990514922,2.313136660476328,9.170458939939124,11.189360386630241,11.384345264384674,10.681751316390077,inf,1.7426911484404695,3.250416754547666,11.11566909850494,10.891457387285424,11.401653264109084,10.060187410619863,2.3880052426787914,2.482719105312011,4.626160960167818,9.019920826782837,3.24850991060175
MixedShapesSmallTrain,3.6091889949741915,9.879798193789611,5.49853088925636,3.6310413111558253,71.1662412965672,18.243926235688956,3.6392077980641258,8.45830626617004,9.811549226949097,8.36454168339059,6.3098188742184345,7.477205423502651,6.835839097501251,6.9024232277500435,3.791726967095938,18.75676101941779,3.7007111119774585,8.612032978072012,9.784293373736833,9.919472104868035,9.696602310653288,1.7426911484404695,inf,3.941501394189673,9.75146162206858,9.73314966469428,9.949479923509415,9.569942654462372,2.7336796646004204,3.532171248271568,4.371812804194561,7.660482623360915,3.819865245211745
OSULeaf,3.4298750315988173,11.9299313998384,2.961188102857934,2.9752166836814546,68.83837461633927,8.41978648473241,3.5595342171235402,5.495528947540156,6.27615572134193,5.348293626422365,4.721095724488587,4.685339225977432,5.1496809905023495,6.485223836042356,3.5624973632094914,15.311862008294037,3.2908230158007252,6.161009744081316,6.647518333738087,7.016199852215619,6.25266565257222,3.250416754547666,3.941501394189673,inf,6.53088125940889,6.388076423622625,7.126465642385594,6.275869473177185,2.685583420512476,2.882679859626374,3.66167024792661,6.94000870310026,2.441831891148717
PhalangesOutlinesCorrect,6.926086162390052,4.447874948032849,8.882176967493347,11.500759682969315,76.31763675253912,7.534329418058606,11.147496874299545,0.5960670908427192,0.5796227140425372,0.7111893244846262,5.561562661922788,11.344207692890985,5.746773312173949,2.1596208690271106,13.66740166176602,18.100637487068184,14.967699445887602,2.9712438705786908,0.4839081939816619,0.44715115599533334,0.49661290683502285,11.11566909850494,9.75146162206858,6.53088125940889,inf,0.6731848733564799,0.5216209995833043,0.6155865934206765,4.637399648160138,6.343570476159255,8.95647220821977,2.7823174672919366,7.357952511111436
ProximalPhalanxOutlineAgeGroup,6.7193279269907675,4.366179247620806,8.83406772551228,11.303899681209572,75.46463906303462,7.612619644526359,10.772395795394731,0.720054919150758,0.8487056673882856,0.6482124426632827,5.455059424662795,11.351293715602436,5.703853045389508,2.1820113238974073,13.1652282310989,16.92848191247957,14.492340013120907,3.0752946316213006,0.6851685440657037,0.7560195800832862,0.6734333173366941,10.891457387285424,9.73314966469428,6.388076423622625,0.6731848733564799,inf,0.3080223386162482,0.18602420016108068,4.233502164286105,6.383523832464091,9.032681201749496,2.771945695138647,6.983262580969027
ProximalPhalanxOutlineCorrect,7.393252843790546,4.530152621913221,9.199058983433336,11.438497050832272,76.33156426012064,7.572089066376561,12.093547042825278,0.6613733588019366,0.805202832081465,0.6180854756761059,5.499083492514593,11.435436772617361,5.734355896200595,1.9962172317057172,14.776814123259866,18.529252040234883,16.07741074884879,2.9878051552202884,0.6019535452347156,0.5457883179000371,0.6199397811278377,11.401653264109084,9.949479923509415,7.126465642385594,0.5216209995833043,0.3080223386162482,inf,0.4100693067123041,4.996564379651077,6.99621544104587,9.36148894171563,2.8391726231231598,7.999636444874724
ProximalPhalanxTW,6.465103482588302,4.288227657032797,8.824488647083337,10.878602094190159,75.29489434096338,7.619748693493064,10.277465696706871,0.7031895059794727,0.8060537515838374,0.6019468165858726,5.414012263399752,11.359142494901914,5.668596577383338,1.899478495556308,12.51082097075902,15.710676181508878,13.882386731849287,2.9508226794041614,0.6397818112740404,0.6173389667607482,0.5864485353003269,10.060187410619863,9.569942654462372,6.275869473177185,0.6155865934206765,0.18602420016108068,0.4100693067123041,inf,3.7858894580188815,6.117535730867299,8.802144005017697,2.751349810758564,6.622540839300245
ShapesAll,0.5132152406451215,3.4662630551045344,3.254186516629394,1.8823116271091134,64.15414986001022,7.004843267132257,0.3383106751889072,4.024138275869606,4.224799252135674,3.7159042047147026,3.779737461981313,4.636646602698288,5.0447995315462455,2.5867476782452217,0.48120660695294976,11.563328521220976,1.3509089482641037,5.968319326103982,5.141590487201379,5.406189297471389,4.538545464584773,2.3880052426787914,2.7336796646004204,2.685583420512476,4.637399648160138,4.233502164286105,4.996564379651077,3.7858894580188815,inf,0.7530064451834976,2.7126456520157505,3.3237555615357994,2.0473332516188676
SwedishLeaf,0.4154257622133334,10.732237430530793,5.023863314657257,3.141329490909922,64.96726661161179,7.737064624035814,0.5861785910766063,5.343338282439517,5.998938366620913,5.215432345981546,4.223302918134053,7.007192830486842,4.595781909904368,5.896498199441933,0.7754537112553233,14.380672139215497,1.9259929948842536,6.053859859953209,6.562232171868517,6.921486531751797,6.237416026172294,2.482719105312011,3.532171248271568,2.882679859626374,6.343570476159255,6.383523832464091,6.99621544104587,6.117535730867299,0.7530064451834976,inf,3.695914256333374,6.255869970322918,2.2707842998625516
Symbols,7.366509559928405,9.726604586121201,5.198198682692169,3.868019557523464,69.71780961691682,10.229928269336511,8.318038209046609,8.141265406302866,8.742072311831675,7.741003683477568,3.8374224660045253,8.26428640462077,4.910305414731843,4.77174004609245,10.330638321836192,6.470415305252733,11.014934047849172,8.433524611690217,9.132394442756725,9.383221218111668,8.908540119345812,4.626160960167818,4.371812804194561,3.66167024792661,8.95647220821977,9.032681201749496,9.36148894171563,8.802144005017697,2.7126456520157505,3.695914256333374,inf,5.032954717317192,5.773026162067496
WordSynonyms,7.053683243296185,2.7172837395230265,7.369689751090224,7.199399630443535,51.18783594589687,6.228139960024938,9.521617890861801,2.9021054557575034,2.6964514728722566,2.980216381670365,3.837923347413297,8.626164050655603,3.954239408703505,1.2154853297833086,11.630329867962612,5.031207945645188,11.560947796490806,3.4915783670704834,2.963219803395619,2.94662932285251,2.798034870269663,9.019920826782837,7.660482623360915,6.94000870310026,2.7823174672919366,2.771945695138647,2.8391726231231598,2.751349810758564,3.3237555615357994,6.255869970322918,5.032954717317192,inf,6.819570954555896
Yoga,2.318882983193146,13.509134088289082,6.0098361459073475,2.196756969277385,75.11433154692719,8.478590283897645,2.415385133343459,6.15669125745409,6.984314710220336,6.0228210991452,4.955801566435945,8.445692131649439,5.927064872921627,7.492919939933623,2.631743000622015,24.15974320459877,2.905522794809743,6.3535561661063875,7.354292530306221,7.873890108835066,6.9549795519223805,3.24850991060175,3.819865245211745,2.441831891148717,7.357952511111436,6.983262580969027,7.999636444874724,6.622540839300245,2.0473332516188676,2.2707842998625516,5.773026162067496,6.819570954555896,inf
