,AllGestureWiimoteX,AllGestureWiimoteY,AllGestureWiimoteZ,AsphaltObstacles,AsphaltPavementType,AsphaltRegularity,CricketX,CricketY,CricketZ,GestureMidAirD1,GestureMidAirD2,GestureMidAirD3,GesturePebbleZ1,GesturePebbleZ2,GunPoint,GunPointAgeSpan,GunPointMaleVersusFemale,GunPointOldVersusYoung,Haptics,InlineSkate,ToeSegmentation1,ToeSegmentation2,UWaveGestureLibraryAll,UWaveGestureLibraryX,UWaveGestureLibraryY,UWaveGestureLibraryZ,Worms,WormsTwoClass
GestureMidAirD2,2117.4291955864965,2115.5328516916456,2109.6457296161643,2212.346693825628,2331.1547523718823,2341.242848736842,2254.9676652426183,2254.929339295046,2254.39652829762,677.6217112287773,52.84421156536682,413.4235323423399,1984.6198949539958,1997.3059228779364,2004.6566403935171,2880.0603478701755,1498.86244958703,845.0449603920557,2363.918278799761,2358.7245021246026,2219.6960386615337,2324.7757828964177,2349.3499227690527,2279.305943309158,2279.310111590872,2277.2241614323825,2325.1634009893546,2328.8647241610897
GestureMidAirD3,186.68194617417,197.36969111395072,203.64926980838518,187.99622325650682,184.11105067545253,186.66330723054287,193.6021197783062,186.57746403141107,189.47411696404453,91.22228833584634,413.4235323423399,57.3057459714491,108.53155316458,90.15563306161756,199.17153662618875,5423.65952552518,3995.8449106491335,3340.911711903135,202.73453585278688,191.78382383797438,195.72871557940928,200.17243077947086,197.66424992653077,193.28836185140227,194.64645923755293,198.71778547904105,185.4413762103372,190.25604230321647
GesturePebbleZ1,55.64337099031867,64.43717198946214,60.42372297193067,51.86272909069809,58.73777852222777,59.68805619725212,58.35224287473471,51.02816565274525,57.475362075032386,125.46055681689874,1984.6198949539958,108.53155316458,20.259223923534883,19.934435524932386,68.86650329004858,7755.6386620108,6160.390610202725,5202.355038804291,63.58192455686197,56.34887898703355,64.11502547328787,63.970563462442094,60.515534028744675,60.16916783723073,62.46477401683889,58.79155709035643,53.91972382994358,60.27458707707579
GesturePebbleZ2,62.030533663948006,69.37435157296498,64.31513129785893,52.221004441339105,68.96909587668593,71.19053668286492,63.88092073877556,58.65867953931637,62.455402090061064,125.72121307746929,1997.3059228779364,90.15563306161756,19.934435524932386,25.62814176830104,74.10906568901409,7517.0024749267905,5923.986654571692,4920.381228708967,68.99020252516598,72.89830608831058,70.14080188807044,69.12640316603566,68.25871858449979,67.1515502166483,66.83238567174232,65.60205832954348,59.80863159718305,66.41759478149889
GunPoint,4.9893536686666256,3.9011910332048383,7.223520700168612,15.851755977776428,9.519666224969608,11.824957464309056,5.1493373091031955,6.215533776969244,5.7816480549091285,244.5769017782368,2004.6566403935171,199.17153662618875,68.86650329004858,74.10906568901409,0.5156880509365366,7256.677796776575,5667.378068886076,4633.487636949781,7.201942307224379,5.050526105363653,6.315552562418963,6.676067311989177,13.414107797293791,3.4113676518949694,2.9251282062172574,4.871738599212768,7.686188544870854,9.28524356517649
GunPointAgeSpan,7660.220949161532,7657.927700685947,7664.106940868571,7986.339920764445,8663.966123907681,10229.472967601312,8141.0202806865545,8141.603111955217,8140.7292758422855,5837.945650528501,2880.0603478701755,5423.65952552518,7755.6386620108,7517.0024749267905,7256.677796776575,498.45708771657536,789.5845462133259,1044.601372427591,11401.910743319902,11414.59298429621,8013.388372928629,8380.196358071453,11178.462812742864,8223.219348836177,8222.836251938972,8223.854858890274,10991.469171008994,10995.887061326326
GunPointMaleVersusFemale,6065.299221435138,6062.986473222315,6068.665237816209,6382.489708898132,7033.475487741731,8506.327023952455,6532.3168089292485,6532.582150464229,6532.036362749728,4243.638435017119,1498.86244958703,3995.8449106491335,6160.390610202725,5923.986654571692,5667.378068886076,789.5845462133259,2080.588995464062,517.0573110845028,9590.862303039545,9603.514957645582,6408.794273512314,6762.192598699713,9385.267699499402,6611.551383676767,6610.976311354832,6612.025052168963,9212.464255423432,9216.625531441627
GunPointOldVersusYoung,5089.547050658781,5087.260146553398,5095.017919074119,5445.471040171659,6160.21309734736,7725.749093408559,5612.676212916087,5612.638752612153,5612.345137400467,3344.705198447451,845.0449603920557,3340.911711903135,5202.355038804291,4920.381228708967,4633.487636949781,1044.601372427591,517.0573110845028,4392.424685907888,8850.419423619158,8863.056324872252,5474.918396974773,5864.7420639827205,8639.032316804298,5700.630370667116,5699.66878060876,5700.525933915532,8460.553131770956,8464.022429912826
Haptics,5.822278398348059,6.248989381081422,7.301155660822027,14.46695155381439,10.841569877643892,12.248990524509944,5.740795955804098,5.265899630790126,5.734238950161248,237.18052169387852,2363.918278799761,202.73453585278688,63.58192455686197,68.99020252516598,7.201942307224379,11401.910743319902,9590.862303039545,8850.419423619158,1.0225736163525372,10.801352080941012,5.012005129872975,4.394238809158714,6.947936766844672,3.9473353817386956,3.7657416538447075,3.4012976001483355,7.561249331405416,8.341970262624981
InlineSkate,3.9830165227975085,4.529810765412666,7.72729504547282,13.490753462691679,8.855115569940592,11.052313213621254,5.675956191558334,4.967538990619933,4.612833104799139,224.13959316943564,2358.7245021246026,191.78382383797438,56.34887898703355,72.89830608831058,5.050526105363653,11414.59298429621,9603.514957645582,8863.056324872252,10.801352080941012,2.1460292904120735,5.635364535161871,6.142326055638596,8.228492741544024,3.9122886754169603,4.030019107179371,4.0732551508213115,7.524408923997371,8.04208487999867
